캠페인,광고 소재,콘텐츠,키워드,딥링크,트래킹 링크
minsaeng-,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG087P,https://link.paybooc.co.kr/0uytrx
feebiz,medicare,-,-,ispmobile://ablink?link_target=id&page_id=P0321PG001W,https://link.paybooc.co.kr/medicare
tokakao,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025070027,https://link.paybooc.co.kr/v21sz8
카카오페이 손해보험,-,-,-,ispmobile://ablink?link_target=id&page_id=P0804PG038P,https://link.paybooc.co.kr/bl4kmb
머니지류쿠폰,-,채용박람회,-,ispmobile://ablink?link_target=id&page_id=P0514PG002W,https://link.paybooc.co.kr/ffteg2
talk,-,-,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025041600056106,https://link.paybooc.co.kr/dpvsue
쇼핑적립 즐겨찾기 ,-,-,-,ispmobile://ablink?link_target=id&page_id=P0609PG007W,https://link.paybooc.co.kr/0afrxe
jandon,-,A,-,ispmobile://ablink?link_target=id&page_id=P0519PG001W,https://link.paybooc.co.kr/jandon
stock-event,-,C,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030013,https://link.paybooc.co.kr/stkevc
stock-event,-,B,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030007,https://link.paybooc.co.kr/stkevb
stock-event,-,A,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030006,https://link.paybooc.co.kr/stkeva
bccard_info,-,bccard_info,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/bccard_card
bccard_info,-,bccard_info,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/bccard_home
naverpay_loan,-,-,-,ispmobile://ablink?link_target=id&page_id=P0899PG005P,https://link.paybooc.co.kr/naverpayloan
pbmoney-expiration,-,check_balance_2,-,ispmobile://ablink?link_target=id&page_id=P0501PG001W,https://link.paybooc.co.kr/083oux
연체대금 즉시결제,-,-,-,ispmobile://ablink?link_target=id&page_id=P1001PG008W,https://link.paybooc.co.kr/overduepay
pbmoney-expiration,-,tips,-,ispmobile://ablink?link_target=id&page_id=P0509PG001P,https://link.paybooc.co.kr/mqw1t3
pbmoney-expiration,-,balance_check,-,ispmobile://ablink?link_target=id&page_id=P0501PG001W,https://link.paybooc.co.kr/poqekk
candy_coupon,-,7mon,-,ispmobile://ablink?link_target=id&page_id=P0628PG003P,https://link.paybooc.co.kr/candy_test
candy_coupon,-,7mon,-,ispmobile://ablink?link_target=id&page_id=P0628PG004P,https://link.paybooc.co.kr/candy_coupon_s3
머니 첫결제 이벤트,-,-,-,ispmobile://ablink?link_target=id&page_id=P0599PG001P,https://link.paybooc.co.kr/moneyfirstoffer
summer2_campaign,-,-,-,ispmobile://ablink?link_target=id&page_id=P9997PG002W,https://link.paybooc.co.kr/summer2
인앱 소비쿠폰 커피 신청 프로모션 ,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG086W,https://link.paybooc.co.kr/min_coffee
소비쿠폰 오픈테스트용 히든게이트,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG086P,https://link.paybooc.co.kr/mtest
kt_ad_barter,money_saving,-,kt_barter_july_push,ispmobile://ablink?link_target=id&page_id=P0604PG001R,https://link.paybooc.co.kr/a73af4
kids-cafe,-,-,-,ispmobile://ablink?link_target=id&page_id=P0012PG001W&affiCd=kids-cafe,https://link.paybooc.co.kr/z1vuck
minsaeng-pre,-,mnybox-promotion,-,ispmobile://ablink?link_target=id&page_id=P0601PG001W,https://link.paybooc.co.kr/daily-mnybox
민생_카드값돌려받기,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2023120008,https://link.paybooc.co.kr/min_card
민생_머니박스안내,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2024120047,https://link.paybooc.co.kr/min_moneybox
소비쿠폰_마이바우처,-,-,-,ispmobile://ablink?link_target=id&page_id=P0620PG001W,https://link.paybooc.co.kr/min_myboucher
tokakao,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025060032,https://link.paybooc.co.kr/yvzxez
minsaeng-pre,-,minsaeng,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng-rcsnews
bc-livelihoodcoupon-qr,-,-,-,ispmobile://ablink?lilnk_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/bccp721
minsaeng-pre,-,contents,-,ispmobile://ablink?link_target=id&page_id=P0620PG001W,https://link.paybooc.co.kr/minsaeng-vc
minsaeng-pre,-,contents,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng-news
민생회복 소비쿠폰 게이트,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng
민생회복 소비쿠폰 네이버 브랜드 검색 게시,민생회복 소비쿠폰,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng-naver
minsaeng-pre,-,minsaeng,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng-rcs
정기통지,-,-,-,ispmobile://ablink?link_target=id&page_id=P0008PG012W&stipNo=1010,https://link.paybooc.co.kr/notice02
정기통지,-,-,-,ispmobile://ablink?link_target=id&page_id=P0008PG002W&stipNo=PB03,https://link.paybooc.co.kr/notice01
credit_kakaotalk,소상공인 부담경감 크레딧 알림톡 버튼 이용내역 랜딩,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/credit_kakaotalk
minsaeng-pre,-,7mon,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng-notibnr
minsaeng-pre,-,7mon,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng-bnr
minsaeng-pre,-,7mon,-,ispmobile://ablink?link_target=id&page_id=P9901PG085P,https://link.paybooc.co.kr/minsaeng-pre2
bcsms,-,p1015pg001w,-,ispmobile://ablink?link_target=id&page_id=P1015PG001W,https://link.paybooc.co.kr/bcsms
소상공ㅇ인부담경감크레딧,-,MY바우처,-,ispmobile://ablink?link_target=id&page_id=P0620PG001W,https://link.paybooc.co.kr/sjg_credit
wannai_randombox,-,-,-,ispmobile://ablink?link_target=id&page_id=P0634PG001P,https://link.paybooc.co.kr/randombox
app trans,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/bo0qfe
app trans,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/a17e3f
test ,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/test-link
1ga,-,p1017pg001w,-,ispmobile://ablink?link_target=id&page_id=P1017PG001W,https://link.paybooc.co.kr/1ga
safe driving,-,-,-,ispmobile://ablink?link_target=id&page_id=P0315PG001W,https://link.paybooc.co.kr/safedriving
homecare,-,-,-,ispmobile://ablink?link_target=id&page_id=P0320PG001W,https://link.paybooc.co.kr/homecare
소상공인 부담경감 크레딧,-,-,-,ispmobile://ablink?link_target=id&page_id=P9918PG001W,https://link.paybooc.co.kr/credit
creditcare,-,-,-,ispmobile://ablink?link_target=id&page_id=P0319PG001W,https://link.paybooc.co.kr/creditcare
minsaeng-pre,-,6mon_inactive,-,ispmobile://ablink?link_target=id&page_id=P9901PG084P,https://link.paybooc.co.kr/minsaeng-pre1
kt_barter,participate,-,-,ispmobile://ablink?link_target=id&page_id=P0604PG001R&pop=participate,https://link.paybooc.co.kr/jnoj6s
kt_barter,money,-,-,ispmobile://ablink?link_target=id&page_id=P0604PG001R,https://link.paybooc.co.kr/vsxymq
kt_barter,plus,-,-,ispmobile://ablink?link_target=id&page_id=P0604PG001R&pop=plus,https://link.paybooc.co.kr/y5zrf1
kt_barter,shopping,-,-,ispmobile://ablink?link_target=id&page_id=P0609PG001W,https://link.paybooc.co.kr/ka7nj0
kt_barter,chulseok,-,-,ispmobile://ablink?link_target=id&page_id=P0607PG001R,https://link.paybooc.co.kr/pz8m3b
tokakao,-,2507,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025060032,https://link.paybooc.co.kr/iri6ka
소상공인부담경감크레딧 이용내역,-,voch_h,-,ispmobile://ablink?link_target=id&page_id=P0620PG001W,https://link.paybooc.co.kr/jcesb6
pat-ret-2025,-,overseas-payment,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/ueekms
test,-,정기통지,-,ispmobile://ablink?link_target=id&page_id=P0008PG012W&stipNo=1010,https://link.paybooc.co.kr/info_test2
test,-,정기통지,-,ispmobile://ablink?link_target=id&page_id=P0008PG002W&stipNo=PB03,https://link.paybooc.co.kr/info_test1
test,-,정기통지,-,ispmobile://ablink?link_target=id&page_id=P0008PG002W,https://link.paybooc.co.kr/info_test
moneybox,moneypush_benefit,-,-,ispmobile://ablink?link_target=id&page_id=P0601PG001W,https://link.paybooc.co.kr/benefit_push
kbquiz,-,stockquiz,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030008,https://link.paybooc.co.kr/stckqzk
kbquiz,-,stockquiz,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030008,https://link.paybooc.co.kr/stckqz
tokakao,-,2504,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025050025,https://link.paybooc.co.kr/wh5l74
dcc,-,p1016pg001w,-,ispmobile://ablink?link_target=id&page_id=P1012PG001W,https://link.paybooc.co.kr/ouodf6
사립유치원,-,사립유치원,-,ispmobile://ablink?link_target=id&page_id=P0311PG052W,https://link.paybooc.co.kr/rwoywx
referral-t1,-,ex-link,-,ispmobile://ablink?link_target=id&page_id=P9901PG083P&evntNo={evntNo}&evntTknNo={evntTknNo},https://link.paybooc.co.kr/referexl
referral-t1,-,kakao-link,-,ispmobile://ablink?link_target=id&page_id=P9901PG083P&evntNo={evntNo}&evntTknNo={evntTknNo},https://link.paybooc.co.kr/referkak
chulseok,chulseok6,-,-,ispmobile://ablink?link_target=id&page_id=P0607PG001R,https://link.paybooc.co.kr/chulseok6
common,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo={evntNo},https://link.paybooc.co.kr/pybcevnt
fortune,-,naver,-,ispmobile://ablink?link_target=id&page_id=P0618PG001W,https://link.paybooc.co.kr/fortune
kbinvst,-,2025,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr=e030010,https://link.paybooc.co.kr/kbwcev
pb-kb-event,-,2025,-,ispmobile://ablink?link_target=id&page_id=P0515PG021W&scr={e030010},https://link.paybooc.co.kr/wlcevt
flo,-,tf,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025050005,https://link.paybooc.co.kr/flo
ediya_coupon,-,naver,-,ispmobile://ablink?link_target=id&page_id=P0632PG001W,https://link.paybooc.co.kr/game_navertalk
birthday_home,-,tf,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/7kpgyj
birthday_letter,-,tf,-,ispmobile://ablink?link_target=id&page_id=P9901PG082P,https://link.paybooc.co.kr/95j2ll
freesms,-,p1016pg001w,-,ispmobile://ablink?link_target=id&page_id=P1016PG001W,https://link.paybooc.co.kr/smsfree
kakaopay_billing,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0402PG001R,https://link.paybooc.co.kr/kakaopay_billing
candy_coupon5,-,tf,-,ispmobile://ablink?link_target=id&page_id=P0628PG003P,https://link.paybooc.co.kr/832sz1
tokakao,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025050025,https://link.paybooc.co.kr/xj4vto
paybooc_money_0522,-,-,-,ispmobile://ablink?link_target=id&page_id=P0501PG001W,https://link.paybooc.co.kr/9q39mf
liner,-,af_bnr,-,ispmobile://ablink?link_target=id&page_id=P9901PG081P,https://link.paybooc.co.kr/liner_smtbnr
perplexity,-,af_bn,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/perplexity_smtbnr
living-plus-bridge,-,-,-,ispmobile://ablink?link_target=id&page_id=P9913PG001W,https://link.paybooc.co.kr/living_plus_brdg
liar_challenge,-,1mon,-,ispmobile://ablink?link_target=id&page_id=P0631PG001W,https://link.paybooc.co.kr/liarchallenge
ediya_ref,-,af_event,-,ispmobile://ablink?link_target=id&page_id=P0632PG001W,https://link.paybooc.co.kr/ediyagame
p1102pg027w,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P1102PG027W,https://link.paybooc.co.kr/p1102pg027w
wakeup,benefit,-,-,ispmobile://ablink?link_target=id&page_id=P0601PG001W,https://link.paybooc.co.kr/benefit
kurly_challenge_25.06,-,kurly_challenge,-,ispmobile://ablink?link_target=id&page_id=P9901PG011W,https://link.paybooc.co.kr/kurly2506
컬리카드 정기결제 이벤트,-,kurlycard,-,ispmobile://ablink?link_target=id&page_id=P0311PG002W,https://link.paybooc.co.kr/kurlyevent
ediya_ref,-,event,-,ispmobile://ablink?link_target=id&page_id=P0632PG001W,https://link.paybooc.co.kr/ediya_game
liner,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG081P,https://link.paybooc.co.kr/liner_navertalk
liar_challenge,-,-,-,ispmobile://ablink?link_target=id&page_id=P0631PG001W,https://link.paybooc.co.kr/liar_navertalk
liner,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG081P,https://link.paybooc.co.kr/d7p0rr
perplexity,-,-,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/perplexity_navertalk
liar_challenge,-,event,-,ispmobile://ablink?link_target=id&page_id=P0631PG001W,https://link.paybooc.co.kr/liar_challenge
6ta,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0405PG004W,https://link.paybooc.co.kr/6tab
dcc,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P1011PG001W,https://link.paybooc.co.kr/dcc
liner,-,card_user,-,ispmobile://ablink?link_target=id&page_id=P9901PG081P,https://link.paybooc.co.kr/liner_info
hotple_hn,-,2025,-,ispmobile://ablink?link_target=sub&target_url=https%3A%2F%2Fpayboocgrowth.oopy.io%2Fhotple_hn,https://link.paybooc.co.kr/ww7z0g
hotple_yd,-,2025,-,ispmobile://ablink?link_target=sub&target_url=https%3A%2F%2Fpayboocgrowth.oopy.io%2Fhotple_yd,https://link.paybooc.co.kr/ahzfj7
hotple_hd,-,2025,-,ispmobile://ablink?link_target=sub&target_url=https%3A%2F%2Fpayboocgrowth.oopy.io%2Fhotple_hd,https://link.paybooc.co.kr/emxyzm
hotple_jr,-,2025,-,ispmobile://ablink?link_target=sub&target_url=https%3A%2F%2Fpayboocgrowth.oopy.io%2Fhotple_jr,https://link.paybooc.co.kr/x5z570
welcome_1,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0619PG001P,https://link.paybooc.co.kr/welcome_1
liner,-,event,-,ispmobile://ablink?link_target=id&page_id=P9901PG081P,https://link.paybooc.co.kr/liner
simplereg_typea_d2,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_typea_d2
simplereg_typea_d1,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_typea_d1
simplereg_typeb_d2,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_typeb_d2
simplereg_typeb_d1,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_typeb_d1
tokakao,-,2504,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025040033,https://link.paybooc.co.kr/fdn50w
simplereg_remind_a,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_remind_a
simplereg_remind_b,-,-,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/simplereg_remind_b
mobileplan,-,partner_5up,-,ispmobile://ablink?link_target=id&page_id=P0630PG001P,https://link.paybooc.co.kr/mobileplan
if_awards_goods_event,-,-,-,ispmobile://ablink?link_target=id&page_id=P0602PG002W&pybcUnifEvntNo=2025040038,https://link.paybooc.co.kr/ifaward2025_goods
홈케어,-,-,-,ispmobile://ablink?link_target=id&page_id=P0320PG001W,https://link.paybooc.co.kr/zf1hph
hotple_md_tarot,-,2025,-,ispmobile://ablink?link_target=id&page_id=P0618PG001O,https://link.paybooc.co.kr/e75617
pb-phishing,-,-,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025042300056306,https://link.paybooc.co.kr/x6ffar
rcs_affi_2504,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/rcs_card_affi_2505
신규회원_웰컴1,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0603PG005R,https://link.paybooc.co.kr/welcome
hotple_md,-,2025,-,ispmobile://ablink?link_target=sub&target_url=https%3A%2F%2Fpayboocgrowth.oopy.io%2Fhotple_md,https://link.paybooc.co.kr/hdwbo7
candy_coupon,-,tf_2mon,-,ispmobile://ablink?link_target=id&page_id=P0628PG001P,https://link.paybooc.co.kr/candy_coupon2
카드승인알림톡_수협,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/kakao_sh_2504
카드승인알림톡_새마을금고,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/kakao_mg_2504
카드승인알림톡_우체국,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/kakao_kp_2504
RCS_수협,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/rcs_sh_2504
RCS_새마을금고,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/rcs_mg_2504
RCS_우체국,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0401PG001R,https://link.paybooc.co.kr/rcs_kp_2504
candy_coupon,-,tf,-,ispmobile://ablink?link_target=id&page_id=P0628PG001P,https://link.paybooc.co.kr/candy_coupon
coupon,-,pbstf,-,ispmobile://ablink?link_target=id&page_id=P0310PG001R,https://link.paybooc.co.kr/mobilecoupon
p1208pg001p_typeA,-,-,-,ispmobile://ablink?link_target=id&page_id=P1208PG001P,https://link.paybooc.co.kr/p1208pg001p
simplereg_typeB,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_typeb
simplereg_typeA,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_typea
cardreg_4BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0301PG001N,https://link.paybooc.co.kr/cardreg_4bh
cardreg_3BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0301PG001N,https://link.paybooc.co.kr/cardreg_3bh
cardreg_2BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0301PG001N,https://link.paybooc.co.kr/cardreg_2bh
simplereg_4BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_4bh
simplereg_3BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_3bh
simplereg_2BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_2bh
simplereg_1BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0312PG001W,https://link.paybooc.co.kr/simplereg_1bh
cardreg_1BH,-,-,-,ispmobile://ablink?link_target=id&page_id=P0301PG001N,https://link.paybooc.co.kr/cardreg_1bh
perplexity,-,partner_5up,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/partner_perplexity
survey_g1_1,-,-,-,ispmobile://ablink?link_target=id&page_id=P9915PG002P,https://link.paybooc.co.kr/survey_2
perplexity,-,ibk_5up,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/ibk_perplexity
survey_g1,-,survey_g1,-,ispmobile://ablink?link_target=id&page_id=P9915PG001P,https://link.paybooc.co.kr/survey
end-notice,-,-,-,ispmobile://ablink?link_target=id&page_id=P0201PG001N,https://link.paybooc.co.kr/jinjr6
perplexity,-,recruiting-banner,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/pplx-recruiting
perplexity,-,employee-notice,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/perplexity-internal
voucher,-,-,-,ispmobile://ablink?link_target=id&page_id=P0620PG001W,https://link.paybooc.co.kr/c3yfst
shadow_2504,-,-,-,ispmobile://ablink?link_target=id&page_id=P1201PG002W&pybcUnifAnncNo=2025040200055706,https://link.paybooc.co.kr/bp5q7u
perplexity,-,event,-,ispmobile://ablink?link_target=id&page_id=P9901PG058W,https://link.paybooc.co.kr/kbank_perplexity
